time,proc_count,y_dim,iters
1.527761,4,1000,100
1.487565,4,1000,100
1.454832,4,1000,100
1.459498,4,1000,100
1.501091,4,1000,100
,,,
1.645071,8,1000,100
1.645071,8,1000,100
1.611071,8,1000,100
1.683626,8,1000,100
1.689317,8,1000,100
,,,
2.642227,16,1000,100
2.612795,16,1000,100
2.616127,16,1000,100
2.636715,16,1000,100
2.622197,16,1000,100
,,,
5.29888,32,1000,100
5.255337,32,1000,100
5.284761,32,1000,100
5.286673,32,1000,100
5.300305,32,1000,100
,,,
10.336178,64,1000,100
10.412235,64,1000,100
10.43428,64,1000,100
10.492868,64,1000,100
10.560921,64,1000,100
